Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
0322.HK,TINGYI,Consumer Staples,HKG,HKD,13.92,78.383104
0336.HK,HUABAO INTL,Consumer Staples,HKG,HKD,4.06,13.113516032
0345.HK,VITASOY INT'L,Consumer Staples,HKG,HKD,14.0,14.980140032
0506.HK,CHINA FOODS,Consumer Staples,HKG,HKD,2.73,7.63641088
0546.HK,FUFENG GROUP,Consumer Staples,HKG,HKD,3.78,9.577158656
1044.HK,HENGAN INT'L,Consumer Staples,HKG,HKD,38.35,44.567298048
1112.HK,H&H INTL HLDG,Consumer Staples,HKG,HKD,9.69,6.252094464
1117.HK,CH MODERN D,Consumer Staples,HKG,HKD,1.15,9.103008768
1458.HK,ZHOU HEI YA,Consumer Staples,HKG,HKD,4.02,9.317274624
1475.HK,NISSIN FOODS,Consumer Staples,HKG,HKD,5.11,5.333256192
1579.HK,YIHAI INTL,Consumer Staples,HKG,HKD,24.75,25.91077376
1610.HK,COFCO JOYCOME,Consumer Staples,HKG,HKD,3.04,11.862080512
1717.HK,AUSNUTRIA,Consumer Staples,HKG,HKD,8.24,14.902452224
1876.HK,BUD APAC,Consumer Staples,HKG,HKD,21.7,287.373099008
2319.HK,MENGNIU DAIRY,Consumer Staples,HKG,HKD,39.85,157.583622144
3331.HK,VINDA INT'L,Consumer Staples,HKG,HKD,18.72,22.500878336
3799.HK,DALI FOODS,Consumer Staples,HKG,HKD,3.99,54.639460352
6055.HK,CTIHK,Consumer Staples,HKG,HKD,11.14,7.705315328
6186.HK,CHINA FEIHE,Consumer Staples,HKG,HKD,8.03,71.412555776
6808.HK,SUNART RETAIL,Consumer Staples,HKG,HKD,2.49,23.753852928
9633.HK,NONGFU SPRING,Consumer Staples,HKG,HKD,42.95,483.037184
9858.HK,YOURAN DAIRY,Consumer Staples,HKG,HKD,3.08,11.689831424
0013.HK,HUTCHMED,Health Care,HKG,HKD,16.5,14.264761344
0241.HK,ALI HEALTH,Health Care,HKG,HKD,3.92,52.989779968
0460.HK,SIHUAN PHARM,Health Care,HKG,HKD,1.16,10.82279936
0512.HK,GRAND PHARMA,Health Care,HKG,HKD,4.17,14.801707008
0570.HK,TRAD CHI MED,Health Care,HKG,HKD,4.02,20.2439168
0775.HK,CKLIFE SCIENCES,Health Care,HKG,HKD,0.63,6.054974464
0853.HK,MICROPORT,Health Care,HKG,HKD,16.9,30.770673664
0867.HK,CMS,Health Care,HKG,HKD,10.68,26.194941952
1066.HK,WEIGAO GROUP,Health Care,HKG,HKD,7.92,35.816853504
1093.HK,CSPC PHARMA,Health Care,HKG,HKD,7.48,89.260335104
1099.HK,SINOPHARM,Health Care,HKG,HKD,18.52,57.794625536
1167.HK,JACOBIO-B,Health Care,HKG,HKD,6.92,5.338516992
1177.HK,SINO BIOPHARM,Health Care,HKG,HKD,4.17,78.459379712
1302.HK,LIFETECH SCI,Health Care,HKG,HKD,2.39,11.065772032
1477.HK,OCUMENSION-B,Health Care,HKG,HKD,10.64,7.094145536
1513.HK,LIVZON PHARMA,Health Care,HKG,HKD,25.25,32.244504576
1515.HK,CR MEDICAL,Health Care,HKG,HKD,4.29,5.56275712
1521.HK,FRONTAGE,Health Care,HKG,HKD,2.76,5.725564928
1530.HK,3SBIO,Health Care,HKG,HKD,5.81,14.654911488
1548.HK,GENSCRIPT BIO,Health Care,HKG,HKD,22.35,46.838673408
1789.HK,AK MEDICAL,Health Care,HKG,HKD,4.58,5.10990592
1801.HK,INNOVENT BIO,Health Care,HKG,HKD,24.3,35.529269248
1833.HK,PA GOODDOCTOR,Health Care,HKG,HKD,19.46,21.77204224
