Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
GPN,Global Payments,Information Technology,NYQ,USD,127.51,36.997156864
GM,GM,Consumer Discretionary,NYQ,USD,38.27,55.562682368
GS,Goldman Sachs,Financials,NYQ,USD,321.85,107.362074624
GWW,Grainger,Industrials,NYQ,USD,494.39,25.470973952
HAL,Halliburton,Energy,NYQ,USD,41.4,37.057806336
HIG,Hartford (The),Financials,NYQ,USD,71.28,24.260360192
HAS,Hasbro,Consumer Discretionary,NMS,USD,89.45,12.339359744
HCA,HCA Healthcare,Health Care,NYQ,USD,206.95,64.366211072
PEAK,Healthpeak,Real Estate,NYQ,USD,29.33,15.810981888
HSIC,Henry Schein,Health Care,NMS,USD,84.28,11.68744448
HSY,Hershey's,Consumer Staples,NYQ,USD,209.69,43.196981248
HES,Hess,Energy,NYQ,USD,127.45,39.474704384
HPE,Hewlett Packard Enterprise,Information Technology,NYQ,USD,15.78,20.410482688
HLT,Hilton,Consumer Discretionary,NYQ,USD,138.42,38.58069504
HOLX,Hologic,Health Care,NMS,USD,74.65,18.768576512
HD,Home Depot,Consumer Discretionary,NYQ,USD,297.19,310.33769984
HON,Honeywell,Industrials,NMS,USD,191.91,132.115259392
HRL,Hormel,Consumer Staples,NYQ,USD,48.28,26.195277824
HST,Host Hotels & Resorts,Real Estate,NMS,USD,20.43,14.58773504
HWM,Howmet Aerospace,Industrials,NYQ,USD,35.68,15.243138048
HPQ,HP,Information Technology,NYQ,USD,40.34,43.676925952
HUM,Humana,Health Care,NYQ,USD,447.59,57.53053184
HII,Huntington Ingalls Industries,Industrials,NYQ,USD,210.46,8.431238144
HBAN,Huntington National Bank,Financials,NMS,USD,13.59,20.039000064
IEX,IDEX,Industrials,NYQ,USD,191.4,14.552429568
IDXX,Idexx Laboratories,Health Care,NMS,USD,369.63,31.342258176
ITW,Illinois Tool Works,Industrials,NYQ,USD,205.98,64.653205504
ILMN,Illumina,Health Care,NMS,USD,235.2,36.761759744
INCY,Incyte,Health Care,NMS,USD,74.98,16.562408448
IR,Ingersoll Rand,Industrials,NYQ,USD,47.25,19.258390528
INTC,Intel,Information Technology,NMS,USD,44.11,179.3953792
ICE,Intercontinental Exchange,Financials,NYQ,USD,101.99,57.46157568
IBM,IBM,Information Technology,NYQ,USD,139.43,124.973891584
IP,International Paper,Materials,NYQ,USD,47.45,18.375630848
IPG,Interpublic Group,Communication Services,NYQ,USD,31.68,12.474159104
IFF,International Flavors & Fragrances,Materials,NYQ,USD,132.16,33.640933376
INTU,Intuit,Information Technology,NMS,USD,408.37,115.636912128
ISRG,Intuitive Surgical,Health Care,NMS,USD,216.39,77.302513664
IVZ,Invesco,Financials,NYQ,USD,19.07,8.79521792
IPGP,IPG Photonics,Information Technology,NMS,USD,102.27,5.451900928
IQV,IQVIA,Health Care,NYQ,USD,210.11,40.139415552
IRM,Iron Mountain,Real Estate,NYQ,USD,53.42,15.467761664
JBHT,J.B. Hunt,Industrials,NMS,USD,172.91,18.157971456
JKHY,Jack Henry & Associates,Information Technology,NMS,USD,186.13,13.781252096
J,Jacobs,Industrials,NYQ,USD,138.86,17.975842816
JNJ,Johnson & Johnson,Health Care,NYQ,USD,177.71,467.8393856
JCI,Johnson Controls,Industrials,NYQ,USD,54.0,38.033928192
JPM,JPMorgan Chase,Financials,NYQ,USD,129.91,393.411657728
JNPR,Juniper Networks,Information Technology,NYQ,USD,30.75,9.999315968
K,Kellogg's,Consumer Staples,NYQ,USD,69.0,23.537487872
KEY,KeyCorp,Financials,NYQ,USD,19.5,18.155630592
KEYS,Keysight,Information Technology,NYQ,USD,143.55,26.275680256
KMB,Kimberly-Clark,Consumer Staples,NYQ,USD,131.4,44.244611072
KIM,Kimco Realty,Real Estate,NYQ,USD,22.94,14.140859392
KMI,Kinder Morgan,Energy,NYQ,USD,20.02,45.393948672
KLAC,KLA,Information Technology,NMS,USD,356.99,54.127538176
KHC,Kraft Heinz,Consumer Staples,NMS,USD,37.25,45.595488256
KR,Kroger,Consumer Staples,NYQ,USD,51.35,37.755396096
LHX,L3Harris,Industrials,NYQ,USD,241.49,47.386374144
LH,LabCorp,Health Care,NYQ,USD,245.78,23.52114688
LRCX,Lam Research,Information Technology,NMS,USD,505.79,71.21473536
LW,Lamb Weston,Consumer Staples,NYQ,USD,66.57,9.723746304
LVS,Las Vegas Sands,Consumer Discretionary,NYQ,USD,35.16,26.861889536
LDOS,Leidos,Industrials,NYQ,USD,104.74,14.699107328
LEN,Lennar,Consumer Discretionary,NYQ,USD,79.63,24.127492096
LLY,Lilly,Health Care,NYQ,USD,311.08,297.576628224
LNC,Lincoln Financial,Financials,NYQ,USD,56.85,10.2733056
LIN,Linde,Materials,NYQ,USD,319.61,163.817701376
LYV,Live Nation Entertainment,Communication Services,NYQ,USD,94.51,21.232617472
LKQ,LKQ Corporation,Consumer Discretionary,NMS,USD,50.55,14.734870528
LMT,Lockheed Martin,Industrials,NYQ,USD,439.3,121.152782336
L,Loews Corporation,Financials,NYQ,USD,64.75,16.426039296
LOW,Lowe's,Consumer Discretionary,NYQ,USD,191.72,129.170776064
LUMN,Lumen,Communication Services,NYQ,USD,11.96,12.24572416
LYB,LyondellBasell,Materials,NYQ,USD,114.31,38.040539136
MTB,M&T Bank,Financials,NYQ,USD,177.79,22.87890432
MRO,Marathon Oil,Energy,NYQ,USD,31.38,24.430491648
MPC,Marathon Petroleum,Energy,NYQ,USD,103.91,63.965749248
MKTX,MarketAxess,Financials,NMS,USD,276.91,10.529917952
MAR,Marriott International,Consumer Discretionary,NMS,USD,170.59,55.558262784
MMC,Marsh & McLennan,Financials,NYQ,USD,156.41,78.970626048
