Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions),TargetPrice,As_of_Date
DD,DuPont,Materials,NYQ,USD,67.42,34.930569216,,2022-06-03
DXC,DXC Technology,Information Technology,NYQ,USD,34.57,8.71990272,,2022-06-03
EMN,Eastman,Materials,NYQ,USD,109.64,14.740001792,,2022-06-03
ETN,Eaton,Industrials,NYQ,USD,137.72,54.895194112,,2022-06-03
EBAY,eBay,Consumer Discretionary,NMS,USD,46.97,29.403406336,,2022-06-03
ECL,Ecolab,Materials,NYQ,USD,162.87,46.673166336,,2022-06-03
EIX,Edison International,Utilities,NYQ,USD,69.73,26.490986496,,2022-06-03
EW,Edwards Lifesciences,Health Care,NYQ,USD,97.34,60.772671488,,2022-06-03
EA,Electronic Arts,Communication Services,NMS,USD,139.53,39.460200448,,2022-06-03
EMR,Emerson,Industrials,NYQ,USD,88.57,52.761059328,,2022-06-03
ENPH,Enphase,Information Technology,NGM,USD,182.49,24.620091392,,2022-06-03
ETR,Entergy,Utilities,NYQ,USD,120.18,24.153894912,,2022-06-03
EOG,EOG Resources,Energy,NYQ,USD,139.93,81.871634432,,2022-06-03
EPAM,EPAM,Information Technology,NYQ,USD,326.28,18.506471424,,2022-06-03
EFX,Equifax,Industrials,NYQ,USD,198.58,24.227158016,,2022-06-03
EQIX,Equinix,Real Estate,NMS,USD,679.0,61.137973248,,2022-06-03
EQR,Equity Residential,Real Estate,NYQ,USD,76.94,28.853731328,,2022-06-03
ESS,Essex,Real Estate,NYQ,USD,282.6,18.393812992,,2022-06-03
EL,Estée Lauder Companies,Consumer Staples,NYQ,USD,250.42,90.13792768,,2022-06-03
ETSY,Etsy,Consumer Discretionary,NMS,USD,80.94,10.261654528,,2022-06-03
RE,Everest,Financials,NYQ,USD,278.52,10.96505344,,2022-06-03
EVRG,Evergy,Utilities,NYQ,USD,70.01,16.165239808,,2022-06-03
ES,Eversource,Utilities,NYQ,USD,92.12,31.671410688,,2022-06-03
EXC,Exelon,Utilities,NMS,USD,49.19,48.123461632,,2022-06-03
EXPE,Expedia Group,Consumer Discretionary,NMS,USD,126.23,19.127379968,,2022-06-03
EXPD,Expeditors,Industrials,NMS,USD,107.84,18.268526592,,2022-06-03
EXR,Extra Space Storage,Real Estate,NYQ,USD,178.65,23.919804416,,2022-06-03
XOM,ExxonMobil,Energy,NYQ,USD,97.84,416.864894976,,2022-06-03
FFIV,F5,Information Technology,NMS,USD,161.89,9.91242752,,2022-06-03
FDS,FactSet,Financials,NYQ,USD,374.59,14.158452736,,2022-06-03
FAST,Fastenal,Industrials,NMS,USD,53.91,31.00703744,,2022-06-03
FRT,Federal Realty,Real Estate,NYQ,USD,113.68,8.8431104,,2022-06-03
FDX,FedEx,Industrials,NYQ,USD,218.67,57.940770816,,2022-06-03
FITB,Fifth Third Bank,Financials,NMS,USD,38.74,26.440282112,,2022-06-03
FRC,First Republic,Financials,NYQ,USD,153.63,27.543709696,,2022-06-03
FE,FirstEnergy,Utilities,NYQ,USD,42.56,24.26720256,,2022-06-03
FIS,FIS,Information Technology,NYQ,USD,103.22,62.854479872,,2022-06-03
FISV,Fiserv,Information Technology,NMS,USD,99.16,65.468608512,,2022-06-03
FLT,Fleetcor,Information Technology,NYQ,USD,242.72,19.708524544,,2022-06-03
FMC,FMC,Materials,NYQ,USD,121.71,15.426864128,,2022-06-03
F,Ford,Consumer Discretionary,NYQ,USD,13.55,54.149050368,,2022-06-03
FTNT,Fortinet,Information Technology,NMS,USD,289.06,47.261310976,,2022-06-03
FTV,Fortive,Industrials,NYQ,USD,61.37,22.005929984,,2022-06-03
FBHS,Fortune Brands,Industrials,NYQ,USD,68.45,9.290991616,,2022-06-03
FOXA,Fox Corporation (Class A),Communication Services,NMS,USD,34.86,19.20590848,,2022-06-03
FOX,Fox Corporation (Class B),Communication Services,NMS,USD,32.15,19.144812544,,2022-06-03
BEN,Franklin Templeton,Financials,NYQ,USD,26.56,13.327675392,,2022-06-03
FCX,Freeport-McMoRan,Materials,NYQ,USD,39.64,58.210152448,,2022-06-03
AJG,Gallagher,Financials,NYQ,USD,160.51,33.27019008,,2022-06-03
GRMN,Garmin,Consumer Discretionary,NYQ,USD,103.51,19.907250176,,2022-06-03
IT,Gartner,Information Technology,NYQ,USD,260.86,21.452863488,,2022-06-03
GE,GE,Industrials,NYQ,USD,77.52,85.127815168,,2022-06-03
GNRC,Generac,Industrials,NYQ,USD,243.86,15.385127936,,2022-06-03
GD,General Dynamics,Industrials,NYQ,USD,226.22,63.16582912,,2022-06-03
GIS,General Mills,Consumer Staples,NYQ,USD,69.12,41.693667328,,2022-06-03
GPC,Genuine Parts,Consumer Discretionary,NYQ,USD,135.82,19.343757312,,2022-06-03
GILD,Gilead,Health Care,NMS,USD,64.77,81.246191616,,2022-06-03
GL,Globe Life,Financials,NYQ,USD,97.32,9.827275776,,2022-06-03
GPN,Global Payments,Information Technology,NYQ,USD,127.51,36.997156864,,2022-06-03
GM,GM,Consumer Discretionary,NYQ,USD,38.27,55.562682368,,2022-06-03
GS,Goldman Sachs,Financials,NYQ,USD,321.85,107.362074624,,2022-06-03
GWW,Grainger,Industrials,NYQ,USD,494.39,25.470973952,,2022-06-03
HAL,Halliburton,Energy,NYQ,USD,41.4,37.057806336,,2022-06-03
HIG,Hartford (The),Financials,NYQ,USD,71.28,24.260360192,,2022-06-03
HAS,Hasbro,Consumer Discretionary,NMS,USD,89.45,12.339359744,,2022-06-03
HCA,HCA Healthcare,Health Care,NYQ,USD,206.95,64.366211072,,2022-06-03
PEAK,Healthpeak,Real Estate,NYQ,USD,29.33,15.810981888,,2022-06-03
HSIC,Henry Schein,Health Care,NMS,USD,84.28,11.68744448,,2022-06-03
HSY,Hershey's,Consumer Staples,NYQ,USD,209.69,43.196981248,,2022-06-03
HES,Hess,Energy,NYQ,USD,127.45,39.474704384,,2022-06-03
HPE,Hewlett Packard Enterprise,Information Technology,NYQ,USD,15.78,20.410482688,,2022-06-03
HLT,Hilton,Consumer Discretionary,NYQ,USD,138.42,38.58069504,,2022-06-03
HOLX,Hologic,Health Care,NMS,USD,74.65,18.768576512,,2022-06-03
HD,Home Depot,Consumer Discretionary,NYQ,USD,297.19,310.33769984,,2022-06-03
HON,Honeywell,Industrials,NMS,USD,191.91,132.115259392,,2022-06-03
HRL,Hormel,Consumer Staples,NYQ,USD,48.28,26.195277824,,2022-06-03
HST,Host Hotels & Resorts,Real Estate,NMS,USD,20.43,14.58773504,,2022-06-03
HWM,Howmet Aerospace,Industrials,NYQ,USD,35.68,15.243138048,,2022-06-03
HPQ,HP,Information Technology,NYQ,USD,40.34,43.676925952,,2022-06-03
HUM,Humana,Health Care,NYQ,USD,447.59,57.53053184,,2022-06-03
HII,Huntington Ingalls Industries,Industrials,NYQ,USD,210.46,8.431238144,,2022-06-03
HBAN,Huntington National Bank,Financials,NMS,USD,13.59,20.039000064,,2022-06-03
IEX,IDEX,Industrials,NYQ,USD,191.4,14.552429568,,2022-06-03
IDXX,Idexx Laboratories,Health Care,NMS,USD,369.63,31.342258176,,2022-06-03
